ID	Prod1	Prod2	Prod3	Prod4	Prod5	Prod6	Prod7	Prod8	Prod9	Prod10
2386	22	61	34	30	2	32	54	12	9	57
2387	21	60	34	28	15	34	59	14	3	48
2388	21	95	32	26	20	31	51	20	5	53
2389	72	67	35	27	14	89	20	3	1	15
2390	71	66	34	26	3	90	16	3	1	14
2391	22	72	35	27	10	31	64	14	7	58
2392	71	52	35	28	8	87	15	5	0	5
2393	21	91	37	30	17	39	64	11	1	48
2394	75	83	31	28	20	88	14	2	1	18
2395	21	53	36	29	20	40	60	14	10	50
2396	71	88	34	29	17	84	17	2	2	6
2397	73	77	34	30	14	81	16	3	2	14
2398	22	67	35	28	9	34	53	12	2	60
2399	73	56	33	30	8	81	12	1	0	14
2400	21	76	31	30	13	35	60	7	5	46
2401	23	72	35	30	8	39	51	15	2	50
2402	72	100	31	30	3	87	19	4	2	19
2403	71	85	31	27	7	84	19	1	2	11
2404	1	54	34	27	13	0	1	26	34	4
2405	71	65	36	27	19	83	13	3	1	8
2406	71	82	32	30	15	83	16	3	2	7
2407	71	58	37	26	7	89	11	3	2	4
2408	72	99	32	28	6	81	13	5	0	17
2409	73	83	33	27	19	90	19	5	0	19
2410	22	87	35	28	11	38	60	17	2	46
2411	73	96	33	28	3	84	11	1	2	9
2412	74	82	33	26	11	85	15	5	1	3
2413	74	67	37	29	6	88	18	2	0	12
2414	23	73	36	30	4	38	53	20	10	54
2415	73	55	37	30	10	84	14	4	1	5
2416	21	87	36	29	15	32	55	19	6	56
2417	74	90	35	29	17	85	15	4	0	13
2418	75	73	34	28	12	85	20	5	0	16
2419	72	82	32	26	12	88	14	4	0	17
2420	22	62	37	27	8	39	57	11	6	57
2421	21	54	37	28	11	38	54	6	2	60
2422	75	66	32	27	6	86	12	2	1	1
2423	21	97	31	27	6	37	60	9	1	48
2424	73	67	34	27	9	83	19	4	1	16
2425	23	63	31	30	8	34	52	11	2	50
2426	73	53	33	30	11	88	17	5	0	17
2427	2	60	35	28	7	5	7	39	44	8
2428	75	54	32	29	9	84	16	1	0	12
2429	73	69	36	28	17	90	17	5	0	8
2430	74	64	36	30	2	81	19	5	0	17
2431	72	81	33	28	1	81	12	5	1	9
2432	0	88	31	27	3	2	5	48	31	17
2433	71	54	34	30	3	81	17	4	1	1
2434	75	65	33	29	5	87	11	5	0	20
2435	71	75	37	29	4	83	14	4	1	6
2436	21	84	31	26	4	34	54	20	4	51
2437	75	76	36	28	3	90	17	3	0	7
2438	71	77	31	30	10	83	14	4	1	4
2439	23	92	34	30	16	38	52	19	9	50
2440	75	71	36	27	12	84	16	2	1	10
2441	71	95	31	29	2	84	11	2	1	10
2442	73	82	36	29	11	87	14	5	2	9
2443	75	72	36	28	2	88	16	3	2	16
2444	71	65	37	28	8	84	20	1	2	11
2445	71	59	36	30	12	86	19	4	2	15
2446	21	59	36	27	12	38	56	10	5	60
2447	71	62	34	27	19	88	17	5	0	13
2448	21	95	33	29	15	36	61	20	4	57
2449	22	75	36	29	10	33	63	17	4	56
2450	74	53	31	30	13	85	17	4	2	17
2451	22	64	33	29	9	37	57	12	5	46
2452	74	73	33	26	16	89	18	1	0	7
2453	21	75	37	26	18	39	54	12	3	49
2454	75	75	35	26	13	89	12	1	2	4
2455	75	68	37	29	4	90	12	3	1	13
2456	73	75	37	29	13	86	13	4	2	3
2457	22	96	36	29	4	34	56	7	7	51
2458	23	82	33	29	20	37	55	20	7	60
2459	74	54	35	28	6	89	15	2	0	9
2460	71	68	35	29	1	81	15	2	1	11
2461	72	67	35	27	16	86	19	4	1	3
2462	72	98	36	29	6	87	14	4	1	11
2463	23	97	37	30	8	39	55	11	7	50
2464	71	72	31	29	17	90	15	4	0	2
2465	73	94	34	26	19	83	20	1	1	4
2466	0	74	31	26	1	3	14	47	42	19
2467	23	66	35	27	10	32	57	15	3	47
2468	22	89	36	30	5	38	60	7	1	46
2469	74	51	37	27	12	89	12	2	2	15
2470	72	87	32	29	7	84	17	3	2	12
2471	21	54	32	27	14	34	58	7	8	53
2472	23	97	35	26	16	34	55	10	5	49
2473	23	63	35	27	5	35	55	14	8	60
2474	73	68	33	26	20	87	20	2	2	20
2475	71	70	34	27	6	83	18	5	1	13
2476	22	65	33	28	2	31	53	20	8	50
2477	23	70	37	26	14	39	56	19	5	58
2478	23	83	32	30	1	39	56	10	7	54
2479	74	64	36	26	13	87	14	1	1	18
2480	73	59	34	27	5	84	19	1	1	16
2481	21	78	37	26	4	37	64	14	1	54
2482	73	82	37	30	19	83	12	5	0	17
2483	75	56	37	30	19	81	17	2	0	17
2484	22	65	36	29	12	35	53	6	1	59
2485	23	96	37	26	10	40	52	13	6	48
2486	1	61	33	30	15	2	9	33	57	24
2487	0	74	36	29	13	5	14	40	54	16
2488	22	93	37	28	11	35	60	18	7	52
2489	72	96	32	27	11	88	13	1	2	8
2490	72	66	35	29	5	90	19	4	2	9
2491	72	60	36	29	3	86	13	5	0	5
2492	71	80	37	26	20	90	14	4	2	12
2493	72	81	31	29	12	83	17	4	2	11
2494	73	58	31	27	19	88	16	5	0	10
2495	74	74	37	26	17	83	11	1	1	10
2496	72	66	32	27	6	81	11	2	2	16
2497	0	83	33	29	13	4	9	41	51	12
2498	71	78	37	29	3	81	11	1	0	6
2499	73	92	36	27	12	85	14	5	0	15
2500	23	66	33	29	1	34	58	11	7	52
2501	72	64	37	30	16	85	18	1	2	3
2502	75	66	33	26	1	88	17	1	0	11
2503	71	78	32	27	12	88	16	4	1	12
2504	23	72	31	28	2	40	57	12	6	46
2505	73	78	36	30	9	81	17	4	2	11
2506	21	76	31	28	5	36	52	18	4	53
2507	21	57	36	30	10	32	59	14	3	49
2508	74	60	36	26	19	81	15	4	2	2
2509	73	94	32	27	13	84	18	1	2	18
2510	1	64	31	26	5	0	4	40	43	1
2511	75	65	36	29	16	88	15	1	0	15
2512	73	88	32	29	7	90	20	5	0	17
2513	75	52	34	26	20	90	15	5	2	1
2514	71	61	35	28	4	89	18	4	1	19
2515	23	89	33	28	5	35	60	16	2	50
2516	74	61	36	29	18	81	17	4	2	11
2517	71	57	31	30	5	86	16	5	2	20
2518	23	88	32	30	4	31	54	7	2	57
2519	73	67	36	29	5	81	17	5	0	10
2520	22	71	37	26	17	32	54	6	4	57
2521	75	52	37	30	5	90	16	4	0	8
2522	71	91	34	26	12	90	15	4	1	18
2523	72	85	32	29	16	87	19	5	2	4
2524	75	66	37	30	5	83	14	1	2	20
2525	73	70	35	29	16	81	12	4	0	10
2526	75	57	32	30	9	88	12	5	0	19
2527	21	66	33	27	19	38	57	15	8	49
2528	75	57	35	30	4	81	20	3	0	10
2529	23	76	32	30	13	34	53	17	4	49
2530	22	75	37	26	14	39	65	11	7	54
2531	23	90	34	27	13	38	52	18	5	48
2532	2	96	31	27	11	3	15	43	42	7
2533	73	74	34	26	16	84	13	5	0	16
2534	72	85	34	29	6	81	15	1	1	18
2535	2	95	31	30	2	4	13	45	55	27
2536	22	71	36	26	1	33	59	7	5	55
2537	23	56	36	30	3	40	62	18	4	58
2538	73	53	33	27	5	85	13	3	0	17
2539	71	82	36	26	13	82	19	4	2	4
2540	22	82	31	28	18	38	52	13	4	49
2541	71	98	35	30	12	82	15	5	1	5
2542	75	97	33	30	16	90	11	3	1	3
2543	21	82	36	28	4	35	52	19	9	50
2544	22	59	36	30	12	33	56	20	9	49
2545	72	87	34	28	12	84	14	5	2	14
2546	75	64	35	26	2	82	13	5	2	18
2547	71	63	35	28	3	87	18	5	0	8
2548	72	72	32	29	13	81	14	5	1	1
2549	75	80	36	28	10	82	20	3	0	3
2550	22	63	35	29	19	39	63	10	8	49
2551	2	58	34	26	17	3	13	36	54	3
2552	73	56	35	28	7	85	15	5	1	15
2553	71	61	31	27	1	89	17	2	2	18
2554	22	67	32	28	15	39	64	10	3	46
2555	72	90	32	29	15	84	11	3	0	12
2556	71	53	36	29	17	88	14	3	2	8
2557	22	80	32	27	13	40	56	13	10	55
2558	73	52	37	30	15	84	19	1	2	4
2559	23	73	35	30	10	38	58	9	3	47
2560	73	72	34	28	2	88	14	5	1	7
2561	75	64	37	28	14	89	16	2	0	9
2562	71	61	31	30	19	86	19	2	0	6
2563	74	69	33	29	20	87	14	1	0	1
2564	22	69	31	26	19	33	59	6	8	53
2565	23	82	32	30	17	38	59	13	6	49
2566	74	78	37	27	13	81	19	2	1	18
2567	71	54	33	29	5	86	19	5	0	9
2568	23	60	34	28	19	32	63	11	5	60
2569	75	92	36	26	5	88	11	2	0	1
2570	22	91	31	28	3	40	55	15	9	51
2571	23	55	32	27	12	34	54	11	3	48
2572	74	98	31	29	19	87	15	2	2	8
2573	0	91	33	28	17	2	2	43	53	5
2574	71	72	31	26	3	85	13	5	2	17
2575	22	84	37	26	6	36	64	18	5	55
2576	22	79	32	26	19	34	62	15	4	52
2577	71	72	36	30	13	82	12	3	1	5
2578	74	86	35	30	9	90	19	1	1	1
2579	0	55	31	28	18	3	5	38	31	23
2580	74	75	34	27	15	86	18	4	2	1
2581	21	94	37	29	17	38	57	8	7	47
2582	23	94	31	28	8	38	63	14	3	46
2583	23	69	36	26	16	36	55	10	3	46
2584	23	58	35	27	10	40	53	10	6	50
2585	72	72	33	27	9	89	16	1	2	17
2586	71	87	34	29	4	85	15	2	2	3
2587	23	54	31	30	18	33	58	18	9	58
2588	74	90	36	30	6	85	11	3	0	13
2589	0	93	32	28	18	0	13	26	57	30
2590	22	69	33	27	20	33	60	17	10	60
2591	71	62	37	30	9	83	15	4	0	11
2592	72	96	31	28	18	88	11	2	0	14
2593	72	80	36	27	5	87	16	1	2	11
2594	23	75	33	29	6	38	51	11	5	51
2595	74	62	33	30	1	85	13	4	2	20
2596	22	100	36	26	3	36	51	17	3	59
2597	72	71	37	28	4	89	16	4	1	1
2598	21	56	32	30	18	35	59	9	8	53
2599	73	61	33	28	14	82	12	1	1	20
2600	1	58	33	27	9	5	4	34	60	24
2601	0	65	32	30	14	5	10	42	50	26
2602	75	62	31	30	20	88	16	2	0	13
2603	73	84	37	30	13	88	19	1	2	10
2604	71	71	36	30	2	86	16	2	1	14
2605	22	84	32	30	11	31	63	17	4	53
2606	22	68	36	26	12	39	63	7	6	58
2607	75	93	35	27	9	85	19	1	2	10
2608	22	55	32	30	9	37	57	19	3	54
2609	1	95	32	30	9	5	15	41	32	27
2610	75	67	33	28	3	88	11	4	1	16
2611	22	69	37	27	9	34	57	11	6	46
2612	74	84	36	28	19	81	17	4	0	9
2613	71	85	34	28	18	86	16	3	2	13
2614	22	84	32	28	2	39	51	9	7	46
2615	21	87	31	26	16	37	60	10	4	49
2616	75	94	35	26	16	90	11	2	2	10
2617	71	59	32	28	1	85	17	3	0	7
2618	75	91	31	29	17	85	19	2	2	4
2619	74	91	35	26	20	82	13	3	1	11
2620	75	91	34	28	7	89	12	4	0	15
2621	72	91	35	26	17	82	15	1	2	3
2622	73	95	37	26	3	85	11	3	1	2
2623	75	86	37	29	3	85	11	3	0	4
2624	72	98	35	27	6	87	15	3	2	20
2625	74	72	35	28	17	89	17	2	2	7
2626	75	71	37	28	10	81	20	3	1	15
2627	22	83	37	30	12	37	58	9	2	49
2628	75	97	36	28	3	86	14	3	0	7
2629	23	72	34	30	14	37	64	9	4	55
2630	71	60	34	26	7	87	18	3	2	16
2631	75	92	35	30	11	82	20	3	2	9
2632	74	76	37	27	4	84	16	1	2	1
2633	74	55	36	30	19	83	14	1	2	4
2634	21	99	36	30	15	36	64	18	10	55
2635	74	51	32	30	12	84	17	4	2	11
2636	74	66	37	27	6	88	15	2	1	15
2637	0	77	32	28	11	4	8	25	49	15
2638	23	98	34	30	17	37	64	7	1	53
2639	22	76	34	27	17	38	55	17	4	53
2640	1	76	33	27	4	0	1	30	39	25
2641	22	100	36	29	3	34	56	18	7	59
2642	23	65	33	26	6	33	51	6	9	48
2643	0	83	33	26	10	4	13	36	48	1
2644	72	55	37	26	13	83	17	4	1	19
2645	71	56	35	29	4	89	16	3	1	18
2646	2	95	31	26	14	4	15	22	49	16
2647	22	82	32	28	1	35	60	20	8	50
2648	71	66	31	26	3	81	16	3	0	2
2649	22	76	31	29	1	32	59	12	6	50
2650	72	88	37	27	2	83	12	3	2	12
2651	73	73	31	28	2	87	19	4	0	3
2652	74	94	34	30	6	85	17	4	1	12
2653	75	97	31	30	2	90	19	5	0	11
2654	74	88	33	28	11	83	13	3	2	18
2655	75	72	33	26	6	82	15	1	1	5
2656	74	96	37	27	10	88	14	3	0	3
2657	0	57	35	26	4	1	3	42	52	2
2658	75	93	31	26	7	84	12	1	1	3
2659	22	84	35	28	10	32	52	6	5	57
2660	72	73	31	26	15	90	14	5	1	20
2661	73	94	37	30	3	81	11	3	2	20
2662	22	90	33	27	8	32	63	6	1	60
2663	2	53	35	30	9	5	10	27	31	29
2664	75	73	36	30	6	89	12	3	1	2
2665	1	89	37	26	17	4	2	23	53	1
2666	22	98	34	28	20	36	56	7	3	52
2667	75	68	37	28	13	85	17	1	2	2
2668	2	63	36	26	18	5	12	45	34	13
2669	21	66	35	30	19	32	57	19	7	57
2670	0	79	34	30	15	4	6	40	51	18
2671	22	93	36	30	20	34	63	8	10	53
2672	73	81	34	28	3	89	12	3	2	19
2673	75	63	36	27	18	87	18	3	2	18
2674	1	90	32	27	17	0	9	27	51	11
2675	74	86	35	29	17	83	18	4	1	8
2676	74	91	37	26	13	84	17	5	1	3
2677	73	72	34	26	2	81	13	3	2	12
2678	75	60	36	27	2	85	13	3	1	5
2679	72	65	37	29	3	83	14	1	0	17
2680	21	98	36	26	17	40	65	13	10	56
2681	21	64	33	30	18	32	53	18	6	50
2682	75	63	32	29	1	88	18	1	0	3
2683	74	99	32	29	15	89	20	4	1	17
2684	75	84	32	29	10	85	19	4	1	18
2685	1	97	34	29	15	1	7	44	38	29
2686	22	55	37	28	4	33	60	18	3	50
2687	75	79	31	29	8	82	11	1	0	14
2688	71	68	31	26	5	90	13	5	0	15
2689	75	63	33	27	14	87	17	5	1	16
2690	22	68	31	28	12	36	52	13	4	46
2691	22	92	33	26	11	40	53	7	10	50
2692	21	58	35	26	4	36	61	10	9	60
2693	71	76	32	28	17	90	19	3	0	7
2694	71	81	32	30	18	84	16	5	0	3
2695	22	68	32	26	18	35	64	17	7	47
2696	71	58	34	28	6	90	15	2	2	6
2697	23	90	33	26	2	39	63	6	10	58
2698	1	89	37	27	11	5	14	35	55	27
2699	71	76	37	30	19	90	17	3	1	11
2700	73	75	31	29	3	87	11	5	2	15
2701	71	92	31	26	12	81	15	1	2	20
2702	22	69	36	29	4	31	65	11	8	54
2703	74	61	34	28	6	90	11	1	2	4
2704	71	74	33	26	15	82	13	2	0	6
2705	71	64	37	28	6	81	18	1	0	15
2706	75	92	36	30	17	82	14	1	0	9
2707	74	64	33	28	2	88	16	5	0	10
2708	21	65	34	26	10	37	60	20	10	50
2709	22	56	35	30	16	31	64	11	10	51
2710	71	67	34	30	10	83	17	1	1	14
2711	22	76	35	26	17	39	53	18	8	57
2712	72	89	33	27	15	88	18	5	2	9
2713	75	83	34	26	5	83	13	3	2	6
2714	22	95	36	29	2	40	63	17	1	55
2715	73	69	36	29	16	90	11	5	0	11
2716	75	99	37	28	19	82	12	4	1	1
2717	73	90	36	27	5	82	20	5	2	4
2718	23	92	32	27	13	34	54	16	5	50
2719	22	83	34	28	13	38	56	11	4	46
2720	72	57	33	29	16	82	14	5	2	11
2721	75	78	35	30	18	85	19	4	0	4
2722	74	59	35	28	7	86	20	2	0	10
2723	21	97	34	29	3	40	59	19	1	55
2724	73	62	37	28	17	86	19	4	2	1
2725	71	57	35	29	9	84	17	1	1	2
2726	74	82	32	28	8	81	18	5	1	16
2727	75	90	32	28	4	89	17	1	2	2
2728	2	83	32	29	16	2	8	29	43	14
2729	0	76	36	28	16	1	9	25	34	4
2730	22	67	37	29	10	39	55	16	7	46
2731	21	71	31	27	4	31	53	15	10	50
2732	23	65	35	26	19	37	62	6	7	58
2733	2	97	33	28	11	3	14	43	50	11
2734	71	68	36	26	20	82	19	5	1	5
2735	73	74	33	26	10	88	16	1	0	2
2736	75	73	35	30	4	88	13	5	2	2
2737	22	75	31	29	7	36	57	9	1	56
2738	74	81	36	27	11	81	16	5	2	3
2739	75	58	33	28	7	88	11	2	1	5
2740	73	84	31	26	11	86	12	3	1	1
2741	74	53	36	28	20	84	14	3	2	8
2742	71	79	32	30	6	83	20	2	0	15
2743	73	61	31	28	14	84	12	5	1	20
2744	73	69	36	28	2	85	14	2	0	2
2745	73	97	35	29	1	81	19	3	2	18
2746	73	74	31	26	9	87	16	4	1	8
2747	74	86	34	26	11	85	12	5	1	10
2748	71	67	34	27	2	90	14	2	1	16
2749	2	60	35	28	5	3	5	21	40	19
2750	74	73	36	28	4	87	15	5	0	2
2751	71	53	37	28	17	82	16	4	1	5
2752	74	75	31	28	1	83	12	4	2	3
2753	21	95	32	29	18	34	62	15	9	56
2754	73	81	34	27	6	86	18	5	2	7
2755	74	55	37	27	2	89	18	2	1	14
2756	71	63	33	27	3	83	15	5	0	16
2757	73	59	32	28	6	84	16	2	0	20
2758	23	98	34	30	10	39	59	16	8	54
2759	73	61	37	26	4	88	16	1	0	8
2760	21	60	35	27	5	33	65	10	6	51
2761	22	90	34	29	17	31	59	6	1	46
2762	72	74	36	30	15	81	11	3	2	2
2763	23	100	33	28	8	31	59	10	2	51
2764	21	73	31	26	15	35	51	12	9	51
2765	23	54	32	27	16	36	64	18	8	48
2766	22	88	33	28	5	31	55	12	2	58
2767	71	54	36	26	2	86	12	2	0	7
2768	73	77	31	28	12	84	20	1	1	19
2769	71	84	37	29	16	89	13	3	1	11
2770	23	55	32	27	2	38	54	7	9	47
2771	75	91	32	28	6	87	18	2	2	11
2772	21	99	33	26	15	32	62	7	5	53
2773	22	84	34	29	1	37	51	10	7	60
2774	72	89	36	28	1	84	12	1	1	8
2775	21	52	36	29	16	37	51	10	1	49
2776	72	53	36	27	10	90	19	3	1	6
2777	74	86	37	30	5	89	18	1	1	20
2778	73	69	31	30	15	81	15	3	1	14
2779	1	76	37	27	1	4	6	44	59	2
2780	71	85	36	29	1	84	18	2	1	5
2781	73	56	37	28	1	85	14	1	0	17
2782	73	88	34	26	4	83	12	4	1	9
2783	21	56	37	26	6	38	65	9	7	48
2784	21	78	33	26	15	36	56	19	10	54
2785	2	67	31	27	8	0	14	29	35	21
2786	73	92	35	26	8	81	18	3	2	6
2787	22	90	37	26	4	36	55	16	1	59
2788	72	74	37	30	18	86	14	2	0	2
2789	71	72	31	26	13	82	13	5	1	6
2790	72	94	37	27	19	82	12	1	1	13
2791	72	99	32	29	5	89	12	1	2	1
2792	23	71	37	28	4	36	62	12	9	56
2793	22	80	36	27	10	39	53	15	9	49
2794	74	82	34	30	2	84	18	4	1	9
2795	72	84	33	26	20	86	14	3	1	15
2796	22	58	37	26	18	36	57	12	5	57
2797	73	67	34	30	4	88	18	1	2	9
2798	21	90	32	29	13	34	63	15	8	59
2799	74	78	33	30	1	85	13	2	2	7
2800	72	82	31	27	7	83	15	2	2	11
2801	1	85	36	30	4	5	7	40	47	2
2802	21	82	35	27	6	39	51	15	2	50
2803	1	68	32	28	1	1	5	44	41	17
2804	23	86	32	28	4	36	64	9	2	59
2805	75	70	36	26	4	89	17	2	0	18
2806	75	56	34	27	20	85	12	5	2	1
2807	1	66	31	29	14	3	4	24	40	25
2808	74	85	36	27	6	85	14	2	1	13
2809	21	59	35	30	10	37	52	14	3	51
2810	71	55	32	29	10	83	20	1	0	1
2811	2	52	34	28	1	0	9	45	59	20
2812	1	81	32	29	16	5	14	43	46	15
2813	73	53	37	26	18	81	18	1	0	8
2814	71	57	36	28	7	88	15	4	1	16
2815	75	92	37	30	11	87	19	5	2	2
2816	21	99	34	30	14	40	65	20	9	50
2817	73	92	33	30	13	86	14	5	2	8
2818	73	67	34	29	4	90	19	2	2	18
2819	1	79	35	26	18	1	14	25	39	2
2820	75	80	33	28	20	82	12	3	0	1
2821	75	90	32	28	9	86	14	1	0	14
2822	72	65	34	26	2	82	13	1	0	5
2823	74	91	36	26	10	81	17	3	1	9
2824	1	88	33	27	5	3	5	46	40	7
2825	2	100	36	26	18	4	12	47	50	19
2826	74	77	33	30	2	87	18	1	0	17
2827	1	87	36	27	13	2	6	23	57	21
2828	72	96	33	29	17	81	18	4	2	14
2829	71	67	31	26	4	82	16	2	2	3
2830	71	87	34	30	5	82	19	2	2	2
2831	73	79	37	28	6	87	15	4	0	3
2832	21	51	33	30	4	37	52	13	10	47
2833	21	95	37	30	16	38	56	18	10	48
2834	74	93	35	30	11	84	14	2	1	4
2835	22	74	34	28	6	33	64	19	6	60
2836	74	62	31	26	1	82	16	5	0	3
2837	75	56	36	26	20	87	13	4	1	19
2838	72	69	35	28	15	84	14	5	0	16
2839	71	75	34	28	14	90	19	2	0	13
2840	72	71	31	27	6	88	15	2	1	5
2841	74	77	31	28	7	81	20	1	1	6
2842	22	92	37	30	2	33	65	11	10	58
2843	23	59	33	26	5	37	55	17	10	55
2844	73	84	33	27	20	83	17	1	2	20
2845	75	74	32	26	16	84	13	5	2	15
2846	22	51	32	30	12	37	55	11	8	47
2847	72	75	31	27	5	90	16	2	0	5
2848	72	73	33	30	9	83	15	4	1	11
2849	74	92	35	26	2	88	13	2	1	1
2850	72	73	32	30	1	83	19	3	0	12
2851	75	60	32	28	12	87	18	3	2	12
2852	75	85	35	26	17	86	13	4	1	5
2853	75	74	32	26	6	83	13	1	0	12
2854	23	75	37	30	4	37	60	7	5	50
2855	71	100	37	29	5	85	12	2	0	15
2856	74	86	37	29	6	86	15	2	0	1
2857	0	81	37	29	14	0	14	22	51	4
2858	1	71	32	27	15	0	11	47	45	18
2859	74	94	32	27	20	82	12	5	1	13
2860	73	88	37	29	19	86	16	3	2	7
2861	22	76	32	27	19	32	58	11	4	50
2862	73	55	36	28	7	86	16	5	1	6
2863	23	72	35	29	7	32	56	6	10	56
2864	22	59	32	30	5	37	52	8	2	56
2865	21	94	36	26	9	35	61	17	9	50
2866	75	56	31	28	12	90	17	2	2	14
2867	72	53	37	26	13	87	14	4	1	14
2868	0	71	37	29	1	5	14	34	52	3
2869	23	77	31	26	4	34	62	19	6	60
2870	73	74	36	30	4	90	16	2	0	9
2871	21	97	35	29	11	35	64	11	6	59
2872	74	62	36	27	2	89	17	3	0	9
2873	75	91	31	26	3	90	14	4	0	3
2874	0	81	35	26	20	4	11	37	58	4
2875	21	74	34	30	7	40	53	8	3	53
2876	75	62	34	29	17	85	12	2	2	9
2877	21	88	35	30	17	35	63	15	4	54
2878	75	81	37	26	20	85	12	3	2	11
2879	0	51	33	26	19	3	5	35	37	23
2880	72	70	34	26	2	83	15	1	1	20
2881	72	61	31	29	6	87	19	4	1	4
2882	23	71	32	26	11	31	51	19	8	58
2883	73	94	32	29	20	89	18	3	0	15
2884	71	97	34	27	8	83	11	4	1	5
2885	23	63	31	28	9	40	64	16	7	53
2886	23	82	35	28	16	40	52	12	5	60
2887	75	63	37	29	20	85	16	4	1	5
2888	75	83	31	29	5	89	11	2	2	14
2889	72	60	32	30	1	83	14	5	1	1
2890	75	98	33	29	8	81	20	1	2	9
2891	73	56	37	27	15	83	16	1	0	1
2892	73	91	33	28	1	86	19	4	1	2
2893	1	54	35	27	10	2	3	40	41	1
2894	21	99	35	29	10	33	55	8	5	48
2895	75	72	36	28	19	86	14	3	2	16
2896	75	93	35	30	8	84	13	1	1	7
2897	1	100	35	27	1	5	8	27	55	29
2898	22	55	36	29	19	39	56	6	1	57
2899	21	54	36	30	4	35	61	15	9	57
2900	73	53	33	30	17	86	14	2	0	2
2901	74	67	37	28	3	88	12	1	1	8
2902	74	81	36	29	8	84	15	3	1	4
2903	74	76	35	29	3	83	12	5	2	7
2904	74	81	31	27	3	86	19	1	2	13
2905	0	68	37	29	18	1	6	30	34	19
2906	21	67	34	28	9	31	52	16	9	50
2907	22	74	35	26	10	36	51	18	2	54
2908	1	73	35	28	4	1	6	23	51	8
2909	71	81	35	29	9	90	19	2	2	2
2910	73	67	37	29	1	88	19	3	0	9
2911	21	77	36	26	14	31	64	11	6	58
2912	0	78	36	28	13	2	6	38	41	20
2913	23	68	34	27	16	38	61	16	4	51
2914	75	73	31	28	10	90	18	5	0	8
2915	22	71	37	30	18	33	53	12	10	58
2916	22	56	34	26	12	36	54	10	9	60
2917	21	94	31	30	16	37	51	17	8	53
2918	75	62	31	26	18	83	11	1	1	14
2919	2	54	33	28	17	2	15	31	56	3
2920	73	70	33	30	19	88	19	4	2	4
2921	73	83	33	28	17	83	19	2	1	18
2922	74	54	37	26	13	88	11	2	2	8
2923	75	60	35	29	9	86	19	5	0	12
2924	23	62	31	29	4	38	65	12	5	60
2925	73	80	36	30	15	86	18	5	2	3
2926	22	95	32	30	18	31	60	7	1	55
2927	21	55	37	27	7	39	51	6	2	59
2928	74	81	37	29	16	86	20	4	2	16
2929	74	70	33	30	3	86	18	3	0	11
2930	74	76	35	30	19	88	12	5	2	3
2931	23	64	37	30	14	40	56	20	7	59
2932	72	74	36	30	17	81	15	3	0	5
2933	22	90	35	30	19	32	62	10	9	57
2934	21	65	31	28	1	37	62	20	8	59
2935	21	51	33	27	16	31	54	8	7	47
2936	1	57	32	27	5	1	3	41	40	13
2937	75	54	32	27	9	83	11	1	0	7
2938	73	67	37	30	15	81	17	1	2	12
2939	22	72	33	28	3	39	51	13	6	60
2940	23	71	31	29	18	40	59	20	8	56
2941	75	78	37	28	10	88	12	1	2	9
2942	72	61	32	27	3	86	20	2	2	19
2943	74	87	37	29	15	88	12	4	2	3
2944	71	57	32	27	2	81	15	5	1	16
2945	72	62	32	26	19	87	12	5	1	5
2946	75	98	36	26	9	86	18	5	0	15
2947	72	89	34	27	9	81	13	3	2	4
2948	22	79	32	27	12	40	52	18	10	47
2949	74	70	32	26	20	85	14	1	0	6
2950	23	67	32	29	10	37	52	8	10	54
2951	71	90	31	26	6	85	20	1	2	2
2952	23	52	36	26	17	32	54	11	8	56
2953	72	56	33	29	16	87	20	5	2	6
2954	22	87	33	26	5	40	55	11	5	49
2955	22	76	31	29	8	34	53	16	2	46
2956	1	74	31	28	9	3	15	42	48	4
2957	73	93	31	27	14	84	11	5	1	20
2958	0	84	32	28	3	3	4	25	52	25
2959	75	61	33	28	19	90	19	3	2	6
2960	23	84	31	28	17	37	55	6	6	54
2961	73	54	35	27	15	89	13	1	2	20
2962	74	93	35	30	15	88	13	5	1	5
2963	22	66	33	30	5	38	58	6	1	48
2964	75	56	34	28	9	84	11	2	2	18
2965	74	66	32	26	9	84	12	4	0	9
2966	22	54	35	28	16	37	51	12	2	55
2967	0	96	34	27	9	5	14	49	56	27
2968	71	55	32	26	3	89	15	4	0	10
2969	1	67	33	29	8	5	15	39	45	11
2970	73	93	36	30	10	88	18	3	1	18
2971	71	62	36	27	2	83	17	4	1	12
2972	21	78	32	29	11	38	58	10	10	52
2973	75	93	32	30	13	89	13	3	2	19
2974	21	68	35	29	9	39	58	20	7	56
2975	73	96	37	29	4	83	18	2	1	12
2976	21	87	36	26	20	34	61	15	3	55
2977	74	58	33	27	1	89	13	5	1	5
2978	71	53	33	27	16	83	15	2	1	11
2979	1	96	31	26	7	1	8	26	33	5
2980	23	53	37	27	9	34	54	14	5	54
2981	73	74	34	27	4	84	19	4	1	3
2982	73	70	37	28	6	86	17	4	0	7
2983	23	74	35	28	12	34	60	10	10	46
2984	23	57	34	26	9	38	62	14	6	47
2985	72	87	37	26	9	81	12	5	2	15
2986	74	85	35	28	6	89	20	4	0	9
2987	0	84	36	29	8	2	1	35	46	9
2988	75	91	36	27	18	88	13	2	1	14
2989	74	58	34	28	16	86	14	5	0	3
2990	73	75	35	30	19	89	11	5	0	10
2991	75	81	35	30	16	89	19	2	1	18
